VERBOS,EU,ELE,NÓS,ELES
Caber,coube,coube,coubemos,couberam
Cair,caí,caiu,caímos,caíram
Cobrir,cobri,cobriu,cobrimos,cobriram
Construir,construí,construiu,construímos,construíram
Dar,dei,deu,demos,deram
Descobrir,descobri,descobriu,descobrimos,descobriram
Destruir,destruí,destruiu,destruímos,destruíram
Distribuir,distribuí,distribuiu,distribuímos,distribuíram
Dizer,disse,disse,dissemos,disseram
Dormir,dormi,dormiu,dormimos,dormiram
Estar,estive,esteve,estivemos,estiveram
Fazer,fiz,fez,fizemos,fizeram
Fugir,fugi,fugiu,fugimos,fugiram
Haver,houve,houve,houvemos,houveram
Ir,fui,foi,fomos,foram
Ler,li,leu,lemos,leram
Medir,medi,mediu,medimos,mediram
Odiar,odiei,odiou,odiamos,odiaram
Ouvir,ouvi,ouviu,ouvimos,ouviram
Passear,passeei,passeou,passeamos,passearam
Pedir,pedi,pediu,pedimos,pediram
Perder,perdi,perdeu,perdemos,perderam
Poder,pude,pôde,pudemos,puderam
Pôr,pus,pôs,pusemos,puseram
Preferir,preferi,preferiu,preferimos,preferiram
Querer,quis,quis,quisemos,quiseram
Repetir,repeti,repetiu,repetimos,repetiram
Rir,ri,riu,rimos,riram
Saber,soube,soube,soubemos,souberam
Sair,saí,saiu,saímos,saíram
Sentir,senti,sentiu,sentimos,sentiram
Ser,fui,foi,fomos,foram
Sorrir,sorri,sorriu,sorrimos,sorriram
Subir,subi,subiu,subimos,subiram
Substituir,substituí,substituiu,substituímos,substituíram
Ter,tive,teve,tivemos,tiveram
Trazer,trouxe,trouxe,trouxemos,trouxeram
Valer,vali,valeu,valemos,valeram
Ver,vi,viu,vimos,viram
Vestir,vesti,vestiu,vestimos,vestiram
Vir,vim,veio,viemos,vieram
